matchId,tier_scraped_from,rank_scraped_from,did_meta_team_win
NA1_5369174928,IRON,IRON II,False
NA1_5369177146,IRON,IRON II,False
NA1_5369189656,GOLD,GOLD III,True
NA1_5369202495,IRON,IRON II,True
NA1_5369206235,DIAMOND,DIAMOND IV,True
NA1_5369211496,GOLD,GOLD I,True
NA1_5369222819,IRON,IRON II,True
NA1_5369225502,SILVER,SILVER I,False
NA1_5369231536,SILVER,SILVER III,True
NA1_5369234737,IRON,IRON II,True
NA1_5369235319,GOLD,GOLD I,True
NA1_5369256551,SILVER,SILVER III,True
NA1_5369262275,DIAMOND,DIAMOND IV,False
NA1_5369268269,BRONZE,BRONZE III,False
NA1_5369269553,SILVER,SILVER I,False
NA1_5369284681,SILVER,SILVER III,False
NA1_5369291749,SILVER,SILVER I,False
NA1_5369301166,DIAMOND,DIAMOND IV,False
NA1_5369315595,SILVER,SILVER I,True
NA1_5369331359,SILVER,SILVER I,True
NA1_5369349427,PLATINUM,PLATINUM I,True
NA1_5369358207,SILVER,SILVER I,False
NA1_5369361399,DIAMOND,DIAMOND II,False
NA1_5369372934,DIAMOND,DIAMOND II,True
NA1_5369384278,PLATINUM,PLATINUM I,True
NA1_5369398096,DIAMOND,DIAMOND II,False
NA1_5369410241,EMERALD,EMERALD II,True
NA1_5369416964,PLATINUM,PLATINUM III,True
NA1_5369421660,PLATINUM,PLATINUM I,False
NA1_5369422994,DIAMOND,DIAMOND IV,True
NA1_5369427330,DIAMOND,DIAMOND II,True
NA1_5369432095,SILVER,SILVER I,True
NA1_5369449069,PLATINUM,PLATINUM I,True
NA1_5369449584,DIAMOND,DIAMOND II,False
NA1_5369451696,PLATINUM,PLATINUM III,True
NA1_5369452878,DIAMOND,DIAMOND IV,True
NA1_5369455822,BRONZE,BRONZE II,True
NA1_5369463241,SILVER,SILVER I,True
NA1_5369473186,GOLD,GOLD I,True
NA1_5369473569,SILVER,SILVER I,False
NA1_5369474632,PLATINUM,PLATINUM I,False
NA1_5369479166,DIAMOND,DIAMOND II,False
NA1_5369492785,GOLD,GOLD II,True
NA1_5369496943,IRON,IRON I,True
NA1_5369501489,DIAMOND,DIAMOND II,True
NA1_5369503084,EMERALD,EMERALD IV,True
NA1_5369505816,SILVER,SILVER I,True
NA1_5369512063,GOLD,GOLD II,True
NA1_5369520358,SILVER,SILVER I,True
NA1_5369527531,GOLD,GOLD IV,True
NA1_5369535449,SILVER,SILVER I,True
NA1_5369547122,BRONZE,BRONZE II,True
NA1_5369551112,SILVER,SILVER I,False
NA1_5369559067,EMERALD,EMERALD IV,True
NA1_5369580397,SILVER,SILVER I,False
NA1_5369587986,SILVER,SILVER I,False
NA1_5369590142,SILVER,SILVER I,False
NA1_5369594516,EMERALD,EMERALD IV,False
